module_id,code,name,filtered_data
2789,TDMV-123,Contact Improvisation,TDMV123
2796,MATH-031AH,Honors Linear Algebra,MATH31AH
2809,CHIN-010AN,First-Year Chinese I,CHIN10AN
2812,TDMV-038,Beginning Hip Hop,TDMV38
2820,MATH-087,First-year Seminar,MATH87
2829,MATH-109,Mathematical Reasoning,MATH109
2830,TDMV-142,Latine Diaspora,TDMV142
2835,TDMV-043,West African Dance,TDMV43
2843,CHIN-020AD,Second-Yr Chinese/Dialect I,CHIN20AD
2850,CHIN-020AM,Second-Yr Chinese/Mandarin I,CHIN20AM
2851,TDMV-144,Asian Diaspora,TDMV144
2852,MATH-096,Putnam Seminar,MATH96
2857,TDMV-146,Intermediate Latin Dance,TDMV146
2860,ECON-232,Pub Econ: Redistr/Social Ins,ECON232
2861,MATH-100A,Abstract Algebra I,MATH100A
2862,CHIN-020AN,Second-Year Chinese I,CHIN20AN
2871,TDPF-160,Studies/Perform-Fall Product,TDPF160
2879,TDPR-006,Theatre Practicum,TDPR6
2880,POLI-117R,Bending/Curve: Climate Change,POLI117R
2884,MATH-102,Applied Linear Algebra,MATH102
2885,POLI-112B,Game Theory/Political Science,POLI112B
2886,TDTR-010,Introduction to Dance,TDTR10
2888,TDTR-115,Dance Movement and Analysis,TDTR115
2891,MATH-103A,Modern Algebra I,MATH103A
2892,TDTR-120,Dance On Film,TDTR120
2906,MATH-104A,Number Theory I,MATH104A
2916,GPCO-481,Politics of Policy Making,GPCO481
2924,GPCO-482,Global Economics and Markets,GPCO482
2925,MATH-105,Basic Number Theory,MATH105
2944,EDS-114,Cogn Develp&Intractv Compt Env,EDS114
2957,EDS-117,"Language, Culture & Education",EDS117
2963,MATH-111A,Mathematical Modeling I,MATH111A
2971,ECON-242,Macroeconomics of Development,ECON242
2976,ECON-266,Economics of Natural Resources,ECON266
2979,CHIN-100AM,Third-Yr Chinese/Mandarin I,CHIN100AM
2985,CHIN-100AN,Third-Year Chinese I,CHIN100AN
2986,EDS-118,Adolescent Devlp & Education,EDS118
3000,POLI-121D,Digital Politics,POLI121D
3008,MATH-120A,Elements of Complex Analysis,MATH120A
3016,ECON-250A,Empirical Methods: Labor Econ,ECON250A
3021,EDS-130,Intro/Acad Ment/Elem Schl Stdn,EDS130
3037,ECON-263,Modeling Behavioral Economics,ECON263
3043,ECON-281,Special Topics in Economics,ECON281
3066,EDS-126,Social Organization/Education,EDS126
3080,POLI-124A,Pol Conseq/Electoral Systems,POLI124A
3084,MATH-140A,Foundations of Real Analysis I,MATH140A
3112,MATH-142A,Introduction to Analysis I,MATH142A
3118,ECON-285,Pre-Candidacy Presentation,ECON285
3130,EDS-136,Intro/Acad Tut/Second Schl Std,EDS136
3155,MATH-150A,Differential Geometry,MATH150A
3172,ECON-286,Grad Resrch Presntation Worksh,ECON286
3182,MATH-152,Applicable Math and Computing,MATH152
3185,CHIN-185A,Chinese Culture & Society I,CHIN185A
3190,EDS-139,Practicum in Teaching/Learning,EDS139
3192,MATH-153,Geometry for Secondary Teacher,MATH153
3197,MATH-154,Discrete Math & Graph Theory,MATH154
3198,POLI-130B,Politics/People's Rep of China,POLI130B
3200,ECON-296,Original Research Paper,ECON296
3216,ECON-500A,Teaching Methods in Economics,ECON500A
3270,EDS-031,Introductn to Teaching Science,EDS31
3289,EDS-038,Explorations in Education,EDS38
3308,EDS-102,Intro to Qual Methods/EdRsrch,EDS102
3317,EDS-103,Intro to Quant Methods/EdRsrch,EDS103
3353,MATH-170A,Intro Numerical Analys/Linear,MATH170A
3363,EDS-112,U.S. Urban Education,EDS112
3366,EDS-129A,Intro/Teach&Learn (Secondary),EDS129A
3410,EDS-124AR,Teach Computation/DigitalWorld,EDS124AR
3415,CLIN-294A,Proseminar in Neuropsychology,CLIN294A
3419,EDS-124BR,Teach Computational Thinking,EDS124BR
3424,EDS-131,Early Child Dev & Education,EDS131
3428,MATH-173A,Optimization/Data Science I,MATH173A
3434,EDS-115,Cog Development & Education,EDS115
3437,CLIN-296,Independent Study,CLIN296
3439,CLIN-297,Advanced Clinical Practicum,CLIN297
3507,EDS-149,Prof. Learning in Practice,EDS149
3515,MATH-180A,Introduction to Probability,MATH180A
3544,POLI-142D,Weapons of Mass Destruction,POLI142D
3554,MATH-180C,Intro/Stochastic Processes II,MATH180C
3562,POLI-142K,Politics and Warfare,POLI142K
